#,名称,百分含量
1,E1,49.823896324858
2,E2,51.8624204448078
3,E3,34.9246707138778
4,E4,37.2402820287712
5,E5,33.7345494017439
6,E6,37.7354499115867
7,E7,42.6819523018423
8,E8,39.3468758262575
9,E9,40.1219746712812
10,E10,39.6132953173273
11,E11,42.5907848013218
12,E12,38.1350757340282
13,E13,45.0705174813001
14,E14,46.2196244861916
15,E15,47.0469730768249
16,E16,48.7472223875563
17,F1,47.7748013154549
18,F2,36.9650902018736
19,F3,34.1390483747314
20,F4,36.1395575856801
21,F5,34.8658188122133
22,F6,36.6858862758474
23,F7,37.651060196788
24,F8,39.1949323148952
25,F9,40.4228655118047
26,F10,39.8575556673553
27,F11,39.8735416463411
28,F12,37.4094575357682
29,F13,39.5522710176977
30,F14,38.3667383491894
31,F15,38.8248495787799
32,F16,40.4777404234232
33,F17,41.338798171218
34,F18,44.8924801701701
35,F19,44.668842968154
36,F20,43.7222566195237
37,F21,46.3306425528672
38,F22,49.5846884196741
39,G1,33.2528210226512
40,G2,33.2090066827644
41,G3,37.4779068183256
42,G4,30.9564167180062
43,G5,33.4010027152511
44,G6,39.1247802255048
45,G7,38.7174821186697
46,G8,38.3591639340023
47,G9,41.931740653661
48,G10,36.3935193345692
49,G11,33.9997717190668
50,G12,36.3460894976144
51,G13,34.7847571303655
52,G14,37.4471397992611
53,G15,37.0500024869404
54,G16,35.5946324526313
55,G17,42.0160267961071
56,G18,39.1198344113929
57,G19,42.0377358609779
58,G20,39.9845965055832
59,G21,40.2308083414841
60,G22,44.3134724003222
61,H1,34.8574238278258
62,H2,33.0438474761678
63,H3,38.0530829774382
64,H4,37.5619568027267
65,H5,38.3822084654812
66,H6,39.4322313911039
67,H7,39.4687977311663
68,H8,39.7998235759133
69,H9,40.1676935012326
70,H10,39.6477432657671
71,H11,46.8686461306732
72,H12,41.8691552624713
73,H13,37.6136691640777
74,H14,40.1413978835218
75,H15,42.818680088211
76,H16,40.8398943636306
77,H17,40.3567650217389
78,H18,42.5239212117283
79,H19,44.4522421855297
80,H20,45.7424818543219
81,H21,43.3045578635798
82,I1,23.7565030306989
83,I2,30.9748953707395
84,I3,33.5194916153016
85,I4,34.6132268878243
86,I5,33.5612290205333
87,I6,35.2461100491647
88,I7,38.5088085476728
89,I8,36.4689093628568
90,I9,34.6061403084633
91,I10,38.6862915679864
92,I11,36.6584929429197
93,I12,36.6870723461438
94,I13,40.3368764365055
95,I14,34.7167219733331
96,I15,35.695571802374
97,I16,38.0773242344812
98,I17,38.2749623003044
99,I18,37.0666355966572
100,I19,38.2997491239023
101,I20,38.0477161656354
102,I21,40.7099562366302
103,I22,42.1742314647184
104,I23,43.9382924594583
105,I24,47.3253338788162
106,I25,49.9859168980148
107,J1,34.1256075250322
108,J2,32.4568551797043
109,J3,31.4482847894378
110,J4,34.2964982516281
111,J5,36.2233861902113
112,J6,38.9884967468034
113,J7,38.7427759574047
114,J8,36.9910247481172
115,J9,36.952238626628
116,J10,33.1274797399182
117,J11,32.4119648114218
118,J12,32.9103920675476
119,J13,31.9379007829495
120,J14,32.4817218189113
121,J15,32.735749551909
122,J16,32.1673625201774
123,J17,32.2079757198763
124,J18,32.9925124129792
125,J19,35.851032894862
126,J20,36.0168398889748
127,J21,31.9771365447703
128,J22,31.8492744358001
129,J23,37.3486357605322
130,J24,34.8591289929355
131,J25,33.4166548764986
132,J26,36.5446538417814
133,J27,41.7390842676882
134,J28,45.1922430031573
135,J29,41.4277266088457
136,J30,41.6765101095936
137,K1,34.2511471127483
138,K2,34.3723609226184
139,K3,36.5700907148677
140,K4,38.4106435169576
141,K5,36.1669632074207
142,K6,37.4885378400965
143,K7,40.27363906826
144,K8,33.5003900225816
145,K9,35.9919702609086
146,K10,37.1121408141273
147,K11,36.9286152602108
148,K12,37.3415145527952
149,K13,38.4368909990702
150,K14,36.4336043156587
151,K15,36.2933508185687
152,K16,38.7867434702992
153,K17,37.5093136517081
154,K18,34.6768378413452
155,K19,41.4100888124566
156,K20,44.1892709033889
157,K21,48.3000207490932
